순위,태그,공개사진수,전체사진수
1,"일본감성",231,231
2,"감성",226,226
3,"내추럴",203,203
4,"빈티지",169,169
5,"웨딩스냅",154,154
6,"커플스냅",133,133
7,"개인스냅",124,125
8,"핀터레스트",113,113
9,"빈티지스냅",107,108
10,"데이트",96,96
11,"웨딩",69,69
12,"여름스냅",58,58
13,"여행",58,58
14,"야외웨딩스냅",56,56
15,"한복스냅",50,50
16,"커플사진",45,45
17,"빈티지웨딩스냅",43,43
18,"빈티지웨딩",40,40
19,"스냅사진",39,40
20,"한복",39,39
21,"홈스냅",38,38
22,"과일컨셉",37,37
23,"세미웨딩",37,37
24,"시네마틱",37,37
25,"화보",37,37
26,"골목",36,36
27,"커플",36,36
28,"스냅촬영",35,35
29,"스튜디오웨딩스냅",35,35
30,"공원스냅",30,30
31,"여름",28,28
32,"웨딩촬영",26,26
33,"기찻길",25,25
34,"봄 스냅",25,25
35,"부산웨딩스냅",25,25
36,"스튜디오스냅",24,24
37,"빈티지컨셉",23,24
38,"결혼준비",22,22
39,"기차",22,22
40,"벚꽃스냅",21,21
41,"교복",20,20
42,"우정",20,20
43,"트윈",20,20
44,"골목스냅",19,19
45,"영화관",19,19
46,"우정스냅",19,19
47,"용산",18,18
48,"일상",18,18
49,"야구스냅",16,16
50,"야구장스냅",16,16
51,"야구장커플스냅",16,16
52,"청순",16,16
53,"쿨톤",16,16
54,"본식",15,15
55,"본식스냅",15,15
56,"본식촬영",15,15
57,"셀프웨딩",15,15
58,"감성스냅",14,14
59,"꽃스냅",14,14
60,"대학",14,14
61,"봄스냅",14,14
62,"시골",14,14
63,"졸업",14,14
64,"졸업스냅",14,14
65,"농촌",13,13
66,"반려견스냅",13,13
67,"야간스냅",13,13
68,"야웨웨딩스냅",13,13
69,"을지로스냅",13,13
70,"공원",12,12
71,"일본무드",12,12
72,"제주웨딩스냅",12,12
73,"초록",12,12
74,"경복궁",11,11
75,"기록",11,11
76,"놀이공원",11,11
77,"능소화",11,11
78,"야간한복",11,11
79,"야간한복스냅",11,11
80,"친구",11,11
81,"능소화스냅",9,9
82,"동작대교웨딩스냅",9,9
83,"터널스냅",8,9
84,"교복스냅",8,8
85,"만삭스냅",8,8
86,"일상스냅",8,8
87,"장미",8,8
88,"지하철스냅",8,8
89,"솔로웨딩",7,7
90,"용산공원스냅",7,7
91,"웨딩스냅촬영",7,7
92,"웨딩컨셉",7,7
93,"리마인드촬영",6,6
94,"바다스냅",6,6
95,"컨셉촬영",6,6
96,"프로포즈스냅",6,6
97,"경복궁스냅",5,5
98,"계곡스냅",5,5
99,"대교스냅",5,5
100,"데이트스냅",5,5
101,"리마인드웨딩",5,5
102,"백빈건널목스냅",5,5
103,"스냅",5,5
104,"야외",5,5
105,"우중스냅",5,5
106,"정독도서관",5,5
107,"드림코어",4,4
108,"컨셉",4,4
109,"프로필",4,4
110,"피크닉스냅",4,4
111,"한강",4,4
112,"한강공원",4,4
113,"공웡",3,3
114,"건널목",2,2
115,"골목길",2,2
116,"꽃",2,2
117,"봄",2,2
118,"봄꽃",2,2
119,"원피스",2,2
120,"청량",2,2
121,"카페",2,2
122,"qwer",0,2
